Profit,Params
581.4914100499656,"[10, 0.05, 5, 10, 3, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 10, 3, 8, 0]"
525.717592136613,"[10, 0.05, 5, 10, 5, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 10, 5, 5, 0]"
482.26042761491584,"[10, 0.05, 5, 10, 5, 8, 0]"
452.7175921366128,"[10, 0.05, 5, 10, 10, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 10, 10, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 10, 10, 8, 0]"
510.3687549273103,"[10, 0.05, 5, 100, 1, 3, 0]"
703.7652195737754,"[10, 0.05, 5, 100, 1, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 100, 1, 8, 0]"
482.7175921366127,"[10, 0.05, 5, 100, 3, 3, 0]"
689.2197650283208,"[10, 0.05, 5, 100, 3, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 100, 3, 8, 0]"
530.3687549273105,"[10, 0.05, 5, 100, 5, 3, 0]"
689.2197650283208,"[10, 0.05, 5, 100, 5, 5, 0]"
482.26042761491584,"[10, 0.05, 5, 100, 5, 8, 0]"
405.5252844443052,"[10, 0.05, 5, 100, 10, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 100, 10, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 100, 10, 8, 0]"
527.3994103184309,"[10, 0.05, 5, 500, 1, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 500, 1, 5, 0]"
389.76042761491584,"[10, 0.05, 5, 500, 1, 8, 0]"
435.52528444430527,"[10, 0.05, 5, 500, 3, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 500, 3, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 500, 3, 8, 0]"
501.7175921366127,"[10, 0.05, 5, 500, 5, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 500, 5, 5, 0]"
456.76042761491584,"[10, 0.05, 5, 500, 5, 8, 0]"
482.7175921366127,"[10, 0.05, 5, 500, 10, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 500, 10, 5, 0]"
482.26042761491584,"[10, 0.05, 5, 500, 10, 8, 0]"
495.71759213661267,"[10, 0.05, 5, 1000, 1, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 1000, 1, 5, 0]"
416.5104276149159,"[10, 0.05, 5, 1000, 1, 8, 0]"
573.3687549273106,"[10, 0.05, 5, 1000, 3, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 1000, 3, 5, 0]"
456.76042761491584,"[10, 0.05, 5, 1000, 3, 8, 0]"
423.7071026261234,"[10, 0.05, 5, 1000, 5, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 1000, 5, 5, 0]"
432.7604276149159,"[10, 0.05, 5, 1000, 5, 8, 0]"
423.7071026261234,"[10, 0.05, 5, 1000, 10, 3, 0]"
581.4914100499656,"[10, 0.05, 5, 1000, 10, 5, 0]"
413.76042761491584,"[10, 0.05, 5, 1000, 10, 8, 0]"
